Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
71,2013,14.68,72000,2,0,1,0,5.5
51,2012,0.81,19000,2,1,1,0,0.6
66,2016,5.9,5464,2,0,1,0,5.3
14,2015,0.74,5000,2,1,1,0,0.65
84,2014,7.6,77632,1,0,1,0,6.0
69,2016,11.8,9010,2,0,1,0,8.99
89,2012,2.69,50000,2,0,1,0,1.25
94,2012,9.4,71000,1,0,1,0,5.2
10,2012,0.57,25000,2,1,1,1,0.2
61,2014,0.88,8000,2,1,1,0,0.5
8,2011,0.95,24000,2,1,1,0,0.45
11,2017,1.6,1200,2,1,1,0,1.45
86,2005,10.21,90000,2,1,1,0,2.75
84,2012,6.79,52132,1,0,1,0,3.1
96,2015,5.09,35500,0,0,1,0,3.25
51,2014,0.81,42000,2,1,1,0,0.42
66,2015,6.82,31427,2,0,0,0,5.4
47,2012,1.75,11500,2,1,1,0,0.95
6,2017,0.95,1300,2,1,1,0,0.9
71,2011,12.48,45000,1,0,1,0,4.5
66,2012,5.35,53675,2,0,1,0,3.0
94,2015,9.4,36000,2,0,1,0,5.95
83,2012,4.6,35775,2,0,1,0,3.1
69,2016,13.6,10980,2,0,1,0,10.11
75,2016,4.43,15000,2,0,1,0,3.15
54,2017,0.52,15000,2,1,1,0,0.48
52,2014,0.826,23000,2,1,1,0,0.45
76,2014,9.95,45000,1,0,1,0,6.0
86,2015,13.46,38000,1,0,1,0,12.5
51,2017,0.81,11800,2,1,1,0,0.65
84,2017,8.1,3435,2,0,1,0,7.9
71,2013,18.61,40001,2,0,1,0,6.95
60,2015,0.84,23000,2,1,1,0,0.48
69,2006,7.6,50456,2,0,1,0,2.1
42,2016,1.78,6000,2,1,1,0,1.2
85,2017,5.71,2400,2,0,1,0,4.9
68,2015,10.38,45000,1,0,1,0,7.45
25,2015,0.55,6700,2,1,1,0,0.4
76,2015,10.79,41678,1,0,1,0,7.25
77,2015,7.27,40534,2,0,1,0,4.5
78,2015,6.8,36000,2,0,1,0,3.95
46,2017,1.47,11000,2,1,1,0,1.2
66,2014,6.8,16500,2,0,1,0,5.3
75,2016,4.43,11849,2,0,1,0,3.1
92,2014,6.87,42450,1,0,1,0,4.6
86,2016,25.39,29000,1,0,0,0,20.75
34,2013,0.73,12000,2,1,1,0,0.42
77,2015,7.7,40588,2,0,1,0,4.5
81,2010,20.45,59000,1,0,1,0,9.25
7,2015,0.95,16600,2,1,1,0,0.6
14,2006,0.75,92233,2,1,1,0,0.1
16,2013,0.99,45000,2,1,1,0,0.5
66,2015,5.9,14465,2,0,1,0,5.25
65,2016,7.87,24524,2,0,0,0,5.85
36,2013,0.51,32000,2,1,1,0,0.25
76,2015,7.71,26000,2,0,1,0,6.1
48,2013,1.5,15000,2,1,1,0,1.25
10,2011,0.57,35000,2,1,1,1,0.15
96,2011,4.15,5200,2,0,1,0,2.85
31,2017,0.51,4000,2,1,0,0,0.45
47,2009,1.75,40000,2,1,1,0,0.9
96,2013,4.41,56879,2,0,1,0,2.9
90,2012,5.98,51439,1,0,1,0,3.1
70,2004,12.35,135154,2,0,0,0,1.5
87,2016,8.4,4000,2,0,1,0,6.0
21,2013,0.57,18000,2,1,1,0,0.25
93,2010,7.98,41442,2,0,1,0,2.65
69,2016,13.6,49562,2,0,1,0,10.25
82,2013,5.7,53000,1,0,1,0,3.9
69,2016,9.4,19434,1,0,1,0,8.35
71,2016,14.89,23000,1,0,1,0,14.73
81,2015,30.61,40000,1,0,0,0,23.0
68,2017,9.85,6900,2,0,1,0,7.25
72,2015,13.6,68000,1,0,1,0,11.25
46,2017,1.47,4100,2,1,1,0,1.35
27,2016,0.48,50000,2,1,1,0,0.3
88,2010,92.6,78000,1,0,1,0,35.0
62,2017,3.6,2135,2,0,1,0,2.85
18,2008,0.787,50000,2,1,1,0,0.2
78,2014,6.8,39485,2,0,1,1,4.1
63,2014,3.98,46706,2,0,1,0,2.55
73,2009,7.21,77427,2,0,1,0,2.25
31,2017,0.51,4300,2,1,0,0,0.48
81,2012,30.61,104707,1,0,0,0,14.9
84,2011,6.79,31604,2,0,1,0,2.9
94,2017,9.4,15141,2,0,1,0,9.1
46,2013,1.47,46500,2,1,1,0,1.0
69,2011,10.0,69341,2,0,1,0,4.1
81,2014,35.96,78000,1,0,0,0,18.75
29,2005,0.57,55000,2,1,1,0,0.2
94,2012,9.4,60000,1,0,1,0,4.95
32,2017,0.87,11000,2,1,1,0,0.75
69,2010,9.9,38000,2,0,1,0,3.25
69,2015,10.0,18828,2,0,1,0,6.7
73,2014,8.06,45780,1,0,1,0,5.5
46,2015,1.47,17000,2,1,1,0,1.15
32,2016,0.87,15000,2,1,1,0,0.6
33,2007,0.58,53000,2,1,1,0,0.12
75,2017,4.43,38488,2,0,1,0,3.5
15,2016,0.94,24000,2,1,1,0,0.51
41,2014,2.4,7000,2,1,1,0,1.15
84,2016,7.6,17000,2,0,1,0,5.25
71,2013,18.61,45000,2,0,1,0,7.05
94,2012,9.4,36000,2,0,1,0,4.5
81,2015,30.61,40000,1,0,0,0,23.0
97,2017,7.13,12479,2,0,1,0,5.75
16,2012,0.99,14500,2,1,1,0,0.45
73,2015,7.2,48767,2,0,1,0,4.65
53,2014,0.52,19000,2,1,0,0,0.35
44,2016,1.4,35000,2,1,1,0,1.15
90,2014,5.59,27000,2,0,1,0,3.35
71,2008,22.78,89000,2,0,0,0,4.0
69,2015,13.6,24800,2,0,1,0,8.65
71,2012,18.61,72000,2,0,1,0,5.85
66,2015,5.9,60000,2,0,1,0,4.0
64,2015,5.8,40023,2,0,1,0,4.0
66,2015,6.1,31427,2,0,1,0,5.4
71,2016,20.91,12000,2,0,1,0,14.25
68,2017,9.29,37000,2,0,0,0,7.75
76,2015,7.71,25870,2,0,1,0,5.8
67,2006,23.73,142000,2,1,0,3,2.5
69,2009,11.0,87934,2,0,1,0,3.35
5,2016,0.8,20000,2,1,1,0,0.6
82,2015,5.7,34797,2,0,0,0,5.15
63,2014,3.46,45280,2,0,1,0,2.5
83,2013,4.6,30000,2,0,1,0,4.0
15,2010,0.94,45000,2,1,1,0,0.52
57,2016,0.84,25000,2,1,1,0,0.6
71,2010,22.83,80000,2,0,0,0,5.25
23,2012,0.51,60000,2,1,1,0,0.3
49,2016,1.9,3000,2,1,1,0,1.75
75,2015,4.43,28282,2,0,1,0,2.75
58,2015,0.82,18000,2,1,1,0,0.75
66,2017,5.8,19000,2,0,1,0,4.8
69,2017,12.5,9000,1,0,1,0,11.5
1,2008,0.52,500000,2,1,0,0,0.17
68,2015,8.12,18796,2,0,1,0,6.75
71,2011,13.74,88000,2,0,1,0,4.35
83,2011,4.6,53460,2,0,1,0,2.95
86,2005,13.46,197176,1,0,1,0,3.49
59,2012,0.83,5500,2,1,1,0,0.4
48,2011,1.5,6900,2,1,1,0,1.05
37,2013,1.2,32000,2,1,1,0,0.6
69,2015,13.6,40324,2,0,1,0,8.5
69,2016,13.6,30753,2,0,0,0,10.9
57,2015,0.84,29000,2,1,1,0,0.6
69,2015,13.6,25000,2,0,1,0,8.4
86,2014,16.09,58242,1,0,1,0,11.25
86,2017,25.39,15000,1,0,0,0,23.0
66,2013,5.9,9800,2,0,1,0,3.5
68,2015,10.38,51000,1,0,1,0,6.85
49,2013,1.9,5400,2,1,1,0,1.05
42,2017,1.78,4000,2,1,1,0,1.65
93,2011,7.74,49998,0,0,1,0,2.95
71,2010,18.54,50000,2,0,1,0,4.75
28,2015,0.54,14000,2,1,1,0,0.4
94,2017,9.4,15001,2,0,1,0,9.25
80,2014,6.95,45000,1,0,1,0,4.75
93,2013,9.54,43000,1,0,1,0,4.75
17,2016,1.26,5700,2,1,1,0,1.05
64,2014,7.0,35000,2,0,1,0,3.65
55,2010,0.52,22000,2,1,0,0,0.25
93,2008,7.15,58000,2,0,1,0,1.95
43,2015,2.37,21700,2,1,1,0,1.35
6,2017,0.95,3500,2,1,1,0,0.75
81,2012,30.61,89000,1,0,0,0,14.5
76,2016,10.79,43000,1,0,1,0,7.75
64,2015,7.0,40026,2,0,1,0,4.0
74,2015,14.79,12900,2,0,0,0,11.45
63,2016,3.76,10079,2,0,1,0,3.0
81,2013,30.61,135000,1,1,0,0,16.0
64,2014,7.0,36054,2,0,1,0,3.9
32,2017,0.87,3000,2,1,1,0,0.8
63,2010,3.95,44542,2,0,1,0,1.95
9,2013,0.47,21000,2,1,1,0,0.27
7,2010,0.95,27000,2,1,1,0,0.45
26,2016,0.55,31000,2,1,1,0,0.5
94,2013,9.4,49000,1,0,1,0,5.95
82,2015,5.7,28200,2,0,1,0,4.4
90,2011,4.89,54200,2,0,1,0,2.35
92,2014,7.49,39000,1,0,1,0,4.95
4,2016,0.8,7000,2,1,1,0,0.75
50,2008,0.58,1900,2,1,0,0,0.25
69,2014,13.6,40126,2,0,1,0,6.25
69,2015,10.0,27600,2,0,1,0,7.5
60,2015,0.84,58000,2,1,1,0,0.55
87,2016,8.4,12000,2,0,1,0,6.4
30,2016,0.57,24000,2,1,0,0,0.35
81,2010,20.45,50024,1,0,1,0,9.65
36,2010,0.51,33000,2,1,1,0,0.16
84,2016,7.6,7000,2,0,1,0,6.25
46,2015,1.47,17500,2,1,1,0,1.11
87,2017,8.7,21200,2,0,1,0,6.5
71,2013,18.61,56001,2,0,1,0,7.45
92,2011,4.99,20000,2,0,1,0,3.0
1,2016,0.54,500,2,1,0,0,0.45
69,2015,13.6,34000,2,0,1,0,8.4
35,2015,0.72,38600,2,1,1,0,0.38
64,2014,6.4,19000,2,0,1,0,4.5
93,2003,7.98,62000,2,0,1,0,2.25
19,2013,0.65,24000,2,1,1,1,0.2
80,2013,6.05,47000,2,0,1,0,3.45
80,2014,6.76,71000,1,0,1,0,3.95
71,2012,13.74,56000,2,0,1,0,5.9
97,2014,7.13,34000,2,0,1,0,4.4
69,2015,13.6,21780,2,0,1,0,9.7
74,2015,14.79,43535,1,0,1,0,11.75
68,2015,8.92,42367,1,0,1,0,7.45
3,2015,0.32,35000,2,1,1,0,0.18
69,2013,9.9,56701,2,0,1,0,5.0
24,2007,0.75,49000,2,1,1,1,0.2
49,2015,1.9,14000,2,1,1,0,1.1
96,2006,4.15,65000,2,0,1,0,1.05
13,2014,0.64,13700,2,1,1,0,0.4
